file,line,type,commit,author,date,time,timezone,datetime,depth,length
static/style.css,47,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,12
static/style.css,48,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,30
static/style.css,49,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,7
static/style.css,50,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,0
static/style.css,51,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,0
static/style.css,52,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,1
static/style.css,53,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,4
static/style.css,54,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,0
static/style.css,55,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,0
static/style.css,56,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,1
static/style.css,57,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,23
static/style.css,58,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,14
static/style.css,59,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,0
static/style.css,60,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,0
static/style.css,61,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,5
static/style.css,62,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,46
static/style.css,63,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,66
static/style.css,64,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,12
static/style.css,65,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,29
static/style.css,66,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,18
static/style.css,67,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,0
static/style.css,68,css,395a9d86,Abigail,2024-03-04,10:19:57,-05:00,2024-03-04T10:19:57-05:00,0,0
