Address,LU post groups,LU prior groups,Prior Year,TOTAL VALUE post,TOTAL VALUE prior,YR BUILT prior (bin) 2,ZIPCODE post (group),Latitude,Longitude
5 LORENZO ST,R1,R1,2022,516900.0,482900.0,1900.0,02122,42.2871083,-71.0417524
5 BANTRY WY,R1,R1,2022,654100.0,599900.0,1890.0,02127,42.3320287,-71.0316958
3 MARLIN RD,R1,R1,2022,1210300.0,714000.0,1960.0,02132,42.294064,-71.1651589
3 LAWNWOOD PL,R1,R1,2022,1301400.0,1183000.0,1850.0,02129,42.3772211,-71.06594190000001
3 LATIN RD,R1,R1,2022,731500.0,665000.0,1950.0,02132,42.27681339999999,-71.155199
2 PERHAM ST,R1,R1,2022,726900.0,660700.0,1990.0,02132,42.2800428,-71.16191239999999
2 MANNING ST,R1,R1,2022,431200.0,392000.0,1960.0,02131,42.2799246,-71.1137621
2 GLENHAVEN RD,R1,R1,2022,517500.0,634700.0,1940.0,02132,42.2702531,-71.1622347
1 MELVILLE AV,R1,R1,2022,486000.0,467500.0,1930.0,02124,42.2932988,-71.0713504
12 CENTRAL AV,R1,C,2022,316000.0,327000.0,1950.0,02136,42.2565095,-71.1215386
FID KENNEDY AV,I,E,2019,4162686.0,1229500.0,0.0,02210,42.3465863,-71.030349
50 PARK ST,I,C,2018,1632500.0,3913500.0,1990.0,02122,42.2980407,-71.0544196
SPALDING ST,E,RL,2015,122600.0,41600.0,0.0,02130,42.3036282,-71.1139605
337 339 HUNTINGTON AV,E,RC,2016,10332000.0,9854000.0,1890.0,02115,42.34067779999999,-71.08896949999999
209 A211 BOWDOIN ST,E,RC,2016,293000.0,491500.0,1910.0,02122,42.3056595,-71.0677553
875 875A BEACON ST,E,R4,2016,764500.0,1272500.0,1900.0,02215,42.3465209,-71.104428
337  339 HUNTINGTON AV,E,R4,2020,,463300.0,,02115,42.34067779999999,-71.08896949999999
177 HARVARD ST,E,R3,2021,62600.0,632900.0,1900.0,02121,42.296406,-71.0829638
48 MATHER ST,E,R3,2023,425400.0,852100.0,1900.0,02124,42.2937816,-71.06614259999999
54 DALE ST,E,R2,2022,19400.0,462400.0,1900.0,02119,42.3208568,-71.0850622
57 CHESTNUT ST,E,R1,2022,5181800.0,4595700.0,1820.0,02108,42.357332,-71.0690784
55 COMMONWEALTH AV,E,R1,2022,23160800.0,11062300.0,1870.0,02116,42.3530726,-71.0755671
27 ALBION ST,E,R1,2022,3500.0,241100.0,1990.0,02119,42.3220753,-71.0706371
15 COMMONWEALTH AV,E,R1,2022,25400200.0,18779300.0,1890.0,02116,42.3536841,-71.07306009999999
4 LATIN RD,E,R1,2022,400.0,665100.0,1950.0,02132,42.2769465,-71.1555022
1 CENTERVALE PK,E,R1,2022,234100.0,634400.0,1900.0,02124,42.2959498,-71.0641954
855 COMMONWEALTH AV,E,I,2022,42581900.0,837600.0,,02215,42.3513882,-71.1138527
169 CUMMINS HW,E,I,2022,4059000.0,261700.0,1990.0,02131,42.2832142,-71.1270268
W FOURTH ST,E,E,2015,2409700.0,2067600.0,0.0,02118,42.3424958,-71.0606065
GORDON ST,E,E,2022,26600.0,26600.0,,02130,42.3102694,-71.1081204
FIFTH ST,E,E,2018,23089000.0,38410700.0,1900.0,02129,42.3749434,-71.0557551
CORNHILL ST,E,E,2021,2654300.0,2474100.0,,02108,42.3596762,-71.0580401
Concord Ave,E,E,2018,,,0.0,02133,42.3584525,-71.06370509999999
1803 DORCHESTER AV,E,E,2019,1448600.0,1762500.0,2000.0,02124,42.2891025,-71.0636561
1345  1353 DORCHESTER AV,E,E,2020,,10191000.0,1890.0,02122,42.3044999,-71.05938739999999
1215 CENTRE ST,E,E,2022,2997300.0,2901500.0,1960.0,02132,42.29825350000001,-71.1311216
1125 TREMONT ST,E,E,2022,13039200.0,12410100.0,2000.0,02120,42.3353598,-71.0881045
1003  1013 HARRISON AV,E,E,2021,2189309.0,2372800.0,1950.0,02119,42.331654,-71.080659
867 BEACON ST,E,E,2015,838000.0,1407000.0,1910.0,02215,42.3466286,-71.1041006
862 BEACON ST,E,E,2015,664000.0,1567500.0,1890.0,02215,42.3471037,-71.1041853
860 HARRISON AV,E,E,2015,49656500.0,63484500.0,1970.0,02118,42.3344574,-71.0753613
856 BEACON ST,E,E,2015,1552000.0,1753000.0,1900.0,02215,42.347271,-71.104039
785  795 COMMONWEALTH AV,E,E,2020,,16065600.0,1930.0,02115,42.350977,-71.109873
775 COLUMBUS AV,E,E,2016,72452500.0,65998000.0,1980.0,02118,42.338194,-71.0864423
724 SHAWMUT AV,E,E,2022,20000.0,20000.0,,02119,42.3327587,-71.0832945
710 COMMONWEALTH AV,E,E,2019,860500.0,839000.0,1890.0,02215,42.3495395,-71.1054968
675 DORCHESTER AV,E,E,2019,901700.0,901500.0,0.0,02125,42.326998,-71.057491
665 HUNTINGTON AV,E,E,2016,77249343.0,68505864.0,0.0,02115,42.335682,-71.101782
647 SUMMER ST,E,E,2022,12304400.0,39682900.0,1960.0,02127,42.3413107,-71.0442053
645 BOYLSTON ST,E,E,2018,24237500.0,4082000.0,1890.0,02116,42.3500779,-71.07831689999999
643 SUMMER ST,E,E,2022,4345500.0,4223500.0,1970.0,02127,42.3428159,-71.0393302
640 -720 ATLANTIC AV,E,E,2016,12070900.0,11408100.0,0.0,02111,42.3502544,-71.0568316
631  639 COMMONWEALTH AV,E,E,2020,,36239800.0,1890.0,02215,42.349869,-71.101978
616 620 COMMONWEALTH AV,E,E,2018,90688500.0,38274500.0,1890.0,02215,42.3487653,-71.1013698
595 COMMONWEALTH AV,E,E,2016,105266000.0,94686000.0,1990.0,02215,42.3494907,-71.0996531
565 COMMONWEALTH AV,E,E,2019,2654000.0,2507500.0,1960.0,02215,42.3494605,-71.0981147
545 COLUMBIA RD,E,E,2022,1412700.0,1437900.0,1920.0,02125,42.31606499999999,-71.06581299999999
483  487 BLUE HILL AV,E,E,2020,,359900.0,1920.0,02121,42.3086954,-71.083529
447  451 BLUE HILL AV,E,E,2020,,488482.0,1910.0,02121,42.3098964,-71.0826227
445  447 BLUE HILL AV,E,E,2020,,297987.0,,02121,42.3098786,-71.0826305
435  441 BLUE HILL AV,E,E,2020,,396931.0,,02121,42.310229,-71.082317
430 SUMMER ST,E,E,2022,5000800.0,1682100.0,,02210,42.3466377,-71.0424367
430 370 SUMMER ST,E,E,2018,3645500.0,3545000.0,1940.0,02210,42.3474672,-71.04398499999999
400 Harvard St,E,E,2023,,,1860.0,02138,42.3716538,-71.1142745
364  370 BROOKLINE AV,E,E,2020,,182951000.0,1930.0,02115,42.3389359,-71.10628129999999
363  367 TALBOT AV,E,E,2020,,5047400.0,1900.0,02124,42.2900286,-71.0713105
305 HUNTINGTON AV,E,E,2022,6648300.0,6648300.0,1890.0,02115,42.3412903,-71.0873545
278 Rindge Ave,E,E,2023,,,1990.0,02139,42.393436,-71.135432
232 CENTRE ST,E,E,2018,8686800.0,1617000.0,1890.0,02124,42.293683,-71.0635338
222 DANA AV,E,E,2022,839300.0,787500.0,1990.0,02131,42.2832142,-71.1270268
220 Binney St,E,E,2021,,,1920.0,02139,42.365645,-71.08498689999999
201 NORTH ST,E,E,2016,6723100.0,5836500.0,1890.0,02113,42.363133,-71.0532399
182  194 MASSACHUSETTS AV,E,E,2020,,4205800.0,1920.0,02115,42.3455557,-71.08666099999999
150 BYRON ST,E,E,2015,7294400.0,6661700.0,1960.0,02128,42.38319180000001,-71.0151156
145 WINTHROP ST,E,E,2018,119000.0,119000.0,1990.0,02119,42.3231604,-71.075616
136 BLACKSTONE ST,E,E,2015,45565600.0,45797200.0,2000.0,02109,42.36227,-71.057537
132 IPSWICH ST,E,E,2015,5954500.0,3144000.0,2010.0,02215,42.3473286,-71.09375039999999
114 BEACON ST,E,E,2023,4400895.0,4493417.0,1890.0,02116,42.355357,-71.073993
101 ST THERESA AV,E,E,2016,1222229.0,1089032.0,1920.0,02132,42.2726706,-71.1552559
100 WM T MORRISSEY BL,E,E,2018,67845500.0,3341900.0,,02125,42.3148925,-71.0393145
99 - 113 SHANDON RD,E,E,2015,6222567.0,6006663.0,2000.0,02124,42.2964445,-71.0915959
89 LONDON ST,E,E,2016,508300.0,473700.0,0.0,02128,42.3721627,-71.0396835
88 BAY STATE RD,E,E,2015,1084500.0,1583500.0,1900.0,02215,42.34984,-71.096891
80 BAY STATE RD,E,E,2015,929500.0,1637000.0,1890.0,02215,42.34980909999999,-71.0965657
79 STANTON ST,E,E,2022,1070100.0,932900.0,1890.0,02124,42.2828311,-71.0789118
79 109 E CANTON ST,E,E,2015,11735500.0,10355000.0,1890.0,02118,42.3355165,-71.070094
78 BAY STATE RD,E,E,2015,1239500.0,1964000.0,1890.0,02215,42.3498062,-71.0964898
73 BAY STATE RD,E,E,2015,987000.0,893000.0,1900.0,02215,42.350251,-71.096166
72 FORT AV,E,E,2022,147400.0,147400.0,,02119,42.32645309999999,-71.0961458
70 S BAY AV,E,E,2015,27827100.0,25763700.0,2000.0,02118,42.3341818,-71.0659336
70 GLEN RD,E,E,2022,369100.0,713700.0,1910.0,02130,42.3087857,-71.10092949999999
69 ALLEGHANY ST,E,E,2018,1978500.0,1942500.0,1920.0,02120,42.3311175,-71.10016089999999
65 LIVERPOOL ST,E,E,2016,1583900.0,1567100.0,1920.0,02128,42.3715657,-71.0411877
62 BAY STATE RD,E,E,2015,1239500.0,1964000.0,1890.0,02215,42.3497682,-71.0958089
60 HIGH ST,E,E,2016,4404500.0,3264400.0,1890.0,02129,42.376576,-71.0644002
60 Concord Ave,E,E,2018,,,1900.0,02138,42.3911157,-71.1599136
60 BAY STATE RD,E,E,2015,620000.0,1759500.0,1900.0,02215,42.3498423,-71.0957343
58 CUSHING AV,E,E,2018,701500.0,124600.0,0.0,02125,42.3145313,-71.0642855
51-69 First St,E,E,2023,,,1980.0,02109,42.36606159999999,-71.0482911
50 BINNEY ST,E,E,2016,13836000.0,12371500.0,1960.0,02115,42.3379467,-71.1071702
44 BEACON ST,E,E,2022,3896500.0,3840600.0,1890.0,02108,42.35708899999999,-71.0669909
41  49 FAIRMOUNT AV,E,E,2020,,848900.0,1910.0,02136,42.2551753,-71.1205889
41  47 MCGREEVEY WY,E,E,2020,,672553.0,1900.0,02120,42.3352183,-71.09797
41  43 N MARGIN ST,E,E,2021,4237400.0,2364900.0,1920.0,02113,42.3648757,-71.0563925
40 GREEN ST,E,E,2015,1787500.0,1536000.0,1980.0,02130,42.3127319,-71.11156869999999
36 CHARLES ST,E,E,2022,440353.0,159375.0,,02122,42.3000313,-71.06321369999999
32  38 MCGREEVEY WY,E,E,2020,,941976.0,2000.0,02120,42.33472709999999,-71.097557
31 WOODCLIFF ST,E,E,2022,18100.0,18100.0,,02125,42.315855,-71.076866
30 BAY STATE RD,E,E,2016,65511000.0,49561000.0,1900.0,02215,42.3497259,-71.09443399999999
29 HIGH ST,E,E,2015,816900.0,712500.0,1890.0,02122,42.3094299,-71.0614976
26 State St,E,E,2018,,,0.0,02142,42.3635847,-71.08246129999999
21 43 MAVERICK ST,E,E,2015,5456500.0,4734000.0,2000.0,02128,42.3712725,-71.0417922
20 SOMERSET ST,E,E,2016,8395200.0,7777800.0,0.0,02114,42.3597459,-71.0618248
19 LENOX ST,E,E,2022,29100.0,29100.0,,02118,42.3356822,-71.0793417
19 A19 LEYLAND ST,E,E,2015,670153.0,597833.0,1890.0,02125,42.3206,-71.0706172
17 23 DR MARY M BEATTY CI,E,E,2015,2312500.0,2030500.0,1970.0,02126,42.2771417,-71.0913748
14 16 LYNDE ST,E,E,2016,6133500.0,5466000.0,1890.0,02114,42.3616353,-71.0645485
12 SOUTH ST,E,E,2022,3364200.0,3219900.0,1910.0,02130,42.3095708,-71.1149342
10 TERMINAL ST,E,E,2022,7407100.0,7407100.0,,02210,42.343601,-71.0362169
10 ASHBURTON PL,E,E,2016,34344000.0,30374000.0,1890.0,02108,42.3588802,-71.0618652
10 2 MILTON ST,E,E,2018,3794500.0,3455500.0,0.0,02136,42.2377786,-71.1335706
7 Temple St,E,E,2015,,,1910.0,02139,42.3666268,-71.10421199999999
7 JUDSON ST,E,E,2022,71100.0,71100.0,,02125,42.3204765,-71.0752231
5  15 VFW PW,E,E,2020,,11193700.0,1890.0,02132,42.2797554,-71.1626756
1 Cedar St,E,E,2018,,,1920.0,02140,42.3976416,-71.1312406
1 AU BON PAIN WY,E,E,2021,8988900.0,8339700.0,1930.0,02210,42.34619199999999,-71.0294909
BOYLSTON ST,E,CL,2021,1621100.0,122200.0,,02215,42.3432912,-71.1026167
42 LAWN ST,E,CD,2022,340500.0,379000.0,1980.0,02120,42.3268616,-71.1053256
1205 HYDE PARK AV,E,C,2016,1035700.0,901500.0,1890.0,02136,42.2578239,-71.1239974
1201 HYDE PARK AV,E,C,2016,641500.0,345000.0,1940.0,02136,42.2579759,-71.1239703
960 MASSACHUSETTS AV,E,C,2022,14027200.0,4092000.0,1920.0,02118,42.3298762,-71.06876989999999
714 COMMONWEALTH AV,E,C,2022,356400.0,792200.0,,02215,42.3495529,-71.1056499
341 HUNTINGTON AV,E,C,2022,91886400.0,4643400.0,,02115,42.340443,-71.09002
333 Webster Ave,E,C,2023,,,1940.0,02139,42.3741571,-71.0945084
333 LONGWOOD AV,E,C,2018,63494000.0,64646500.0,1980.0,02115,42.3385684,-71.1056289
240 NEWBURY ST,E,C,2015,1956000.0,8886500.0,1890.0,02116,42.3494871,-71.0818577
185  215 OLD COLONY AV,E,C,2020,,404800.0,,02127,42.3329081,-71.05450909999999
181 AMORY ST,E,C,2015,433800.0,404000.0,1910.0,02130,42.31735399999999,-71.10293419999999
172  178 ROSLINDALE AV,E,C,2021,525700.0,1096600.0,1920.0,02131,42.2819486,-71.1366006
168 MASSACHUSETTS AV,E,C,2022,19270348.0,2749000.0,,02115,42.3461112,-71.0869546
153 MASSACHUSETTS AV,E,C,2022,7441300.0,3380900.0,,02115,42.3465091,-71.08756319999999
133 HALLECK ST,E,C,2023,557700.0,1256600.0,1890.0,02120,42.3330739,-71.09539149999999
120 SHAWMUT AV,E,C,2016,3675000.0,3675000.0,1980.0,02118,42.3462165,-71.06571749999999
37 BABSON ST,E,C,2015,1284500.0,119000.0,1980.0,02126,42.2745302,-71.0924703
832 BEACON ST,E,A,2015,559000.0,1481000.0,1910.0,02215,42.347523,-71.102997
764 768B COLUMBUS AV,E,A,2015,1699000.0,1541000.0,1900.0,02120,42.33711539999999,-71.0861977
144 HEMENWAY ST,E,A,2021,1911500.0,1647200.0,1890.0,02115,42.34202639999999,-71.09031949999999
84 BAY STATE RD,E,A,2016,971500.0,1227000.0,1890.0,02215,42.349823,-71.096726
20 CHARLESGATE WEST,E,A,2019,633800.0,6737000.0,1890.0,02215,42.3482106,-71.0930924
13 DORR ST,CP,RL,2016,11600.0,147500.0,0.0,02119,42.32736630000001,-71.0922424
300 HARRISON AV,CP,RC,2016,60000.0,127904000.0,1950.0,02118,42.3461643,-71.06294369999999
47 JULIAN ST,CP,R4,2015,9000.0,582500.0,1910.0,02125,42.3189919,-71.0749636
37 P ST,CP,R4,2015,40000.0,1247650.0,2010.0,02127,42.337002,-71.027475
8 CONRAD ST,CP,R3,2015,9000.0,631300.0,1900.0,02125,42.31871779999999,-71.06231749999999
5 ALBION PL,CP,R3,2015,21500.0,741605.0,1880.0,02129,42.3810981,-71.06994949999999
144 WARREN AV,CP,R2,2015,32000.0,2661300.0,1850.0,02116,42.3439814,-71.0749012
97 PERKINS ST,CP,R2,2015,13000.0,955900.0,1920.0,02130,42.32136269999999,-71.11473409999999
54 BURROUGHS ST,CP,R1,2015,9000.0,2229600.0,1890.0,02130,42.3137394,-71.1178123
49 L ST,CP,A,2015,40000.0,2029100.0,2010.0,02127,42.3366049,-71.0356854
S HUNTINGTON AV,CM,RL,2022,0.0,55200.0,,02115,42.3313906,-71.1118309
2757 WASHINGTON ST,CM,RL,2018,0.0,146400.0,0.0,02119,42.3225679,-71.0910706
689 BENNINGTON ST,CM,RL,2021,0.0,93500.0,,02128,42.3841154,-71.01363049999999
341 E ST,CM,RL,2018,0.0,28900.0,0.0,02127,42.3383067,-71.0485483
180 -182 ROSLINDALE AV,CM,RL,2018,0.0,54500.0,0.0,02131,42.2818135,-71.1369108
175 K ST,CM,RL,2018,0.0,5500.0,0.0,02127,42.33690929999999,-71.0376819
156 -160 HIGHLAND ST,CM,RL,2018,0.0,54800.0,0.0,02119,42.3246551,-71.0928546
126 ELM ST,CM,RL,2016,0.0,400000.0,0.0,02129,42.3805764,-71.0616275
105 BROOKLEY RD,CM,RL,2018,0.0,95900.0,0.0,02130,42.3024311,-71.1053956
64 Pearl St,CM,RL,2020,,,0.0,02138,42.3803274,-71.13891009999999
62 STARBIRD AV,CM,RL,2020,,124200.0,,02131,42.2839473,-71.1154367
60 STARBIRD AV,CM,RL,2020,,120200.0,,02131,42.284059,-71.11524039999999
58 BYRON ST,CM,RL,2021,0.0,132800.0,,02128,42.3848151,-71.0192745
51 SILVER ST,CM,RL,2021,0.0,153100.0,,02127,42.3410567,-71.0554427
45 DORSET ST,CM,RL,2023,0.0,323100.0,2020.0,02125,42.3242317,-71.05921409999999
36 BELMONT ST,CM,RL,2022,0.0,301900.0,,02129,42.3814059,-71.06539409999999
28 IFFLEY RD,CM,RL,2018,0.0,184600.0,0.0,02130,42.3126899,-71.0996969
5 7 MILL ST,CM,RL,2018,0.0,51900.0,0.0,02122,42.3012673,-71.0516279
3305 WASHINGTON ST,CM,RC,2023,0.0,2509731.0,2020.0,02130,42.3105829,-71.1038064
1971 Massachusetts Ave,CM,RC,2018,,,2010.0,02141,42.3902341,-71.1203544
1906  1918 DORCHESTER AV,CM,RC,2020,,8025900.0,2000.0,02124,42.2838783,-71.0646115
1785 COLUMBUS AV,CM,RC,2021,0.0,1819925.0,,02119,42.3200852,-71.0988361
1721 CENTRE ST,CM,RC,2023,0.0,3063196.0,2020.0,02132,42.2874154,-71.1488899
1008 1010 RIVER ST,CM,RC,2018,0.0,330500.0,1930.0,02136,42.2603225,-71.1154178
877 Cambridge St,CM,RC,2023,,,1910.0,02138,42.3727439,-71.0914444
770 CENTRE ST,CM,RC,2021,0.0,557600.0,1920.0,02130,42.3091474,-71.1158647
687 E SECOND ST,CM,RC,2015,0.0,645145.0,2010.0,02127,42.3371777,-71.03577829999999
621 E FIRST ST,CM,RC,2018,0.0,7013921.0,1910.0,02127,42.3379221,-71.03459269999999
584 E BROADWAY,CM,RC,2023,0.0,728000.0,1910.0,02127,42.3356587,-71.0407898
515 E FIRST ST,CM,RC,2018,0.0,2818000.0,2010.0,02127,42.3378743,-71.03908489999999
472 W BROADWAY,CM,RC,2023,0.0,3596212.0,2020.0,02127,42.3358876,-71.0458086
457 W BROADWAY,CM,RC,2023,0.0,14557000.0,2020.0,02127,42.3358642,-71.04651919999999
377 W FIRST ST,CM,RC,2021,0.0,3861000.0,2010.0,02127,42.3380512,-71.0449017
340 W SECOND ST,CM,RC,2021,0.0,7565600.0,2010.0,02127,42.3388226,-71.0467604
283 OLD COLONY AV,CM,RC,2020,,325100.0,1920.0,02127,42.330337,-71.0528978
278 -292 BLUE HILL AV,CM,RC,2018,0.0,2489000.0,2010.0,02119,42.3147513,-71.07840709999999
275 Border ST,CM,RC,2023,0.0,1682107.0,,02128,42.3773089,-71.0396698
232 OLD COLONY AV,CM,RC,2020,,12359100.0,2010.0,02127,42.3323176,-71.05328039999999
231 Maverick ST,CM,RC,2023,0.0,1583384.0,2020.0,02128,42.3684009,-71.0351362
223 Saratoga ST,CM,RC,2023,0.0,1255063.0,2020.0,02128,42.3776319,-71.0331782
200 OLD COLONY AV,CM,RC,2021,0.0,4626900.0,2010.0,02127,42.3331165,-71.0538145
197 Maverick ST,CM,RC,2023,0.0,13730900.0,2020.0,02128,42.3688157,-71.0364226
165 NEWBURY ST,CM,RC,2016,0.0,4184000.0,1900.0,02116,42.3508138,-71.0788633
103 OLD HARBOR ST,CM,RC,2022,0.0,1466700.0,1940.0,02127,42.3313578,-71.04760259999999
100 SHAWMUT AV,CM,RC,2022,0.0,142662200.0,2010.0,02118,42.3466841,-71.0656551
99 KNEELAND ST,CM,RC,2016,0.0,47956000.0,2010.0,02111,42.3496542,-71.06022310000002
76 -78 MOZART ST,CM,RC,2015,0.0,557000.0,1920.0,02130,42.3201235,-71.103985
74 Everett ST,CM,RC,2023,0.0,1290765.0,2020.0,02128,42.3677697,-71.0348364
47 LAGRANGE ST,CM,RC,2023,0.0,63300700.0,2020.0,02116,42.3518929,-71.0639837
46 WAREHAM ST,CM,RC,2021,0.0,14714800.0,1930.0,02118,42.3390877,-71.06701749999999
46 BELGRADE AV,CM,RC,2023,0.0,560600.0,2020.0,02131,42.2862686,-71.13213859999999
40 TERRACE ST,CM,RC,2023,0.0,969700.0,2020.0,02120,42.3304963,-71.0967
22 LIBERTY DR,CM,RC,2016,0.0,71489500.0,2010.0,02210,42.3547311,-71.0456428
11 WALTER ST,CM,RC,2021,0.0,419400.0,1890.0,02136,42.256909,-71.1193804
3 UNION PARK ST,CM,RC,2018,0.0,1941500.0,1910.0,02118,42.3423875,-71.0705772
4438 WASHINGTON ST,CM,R4,2021,0.0,874700.0,1920.0,02131,42.2799014,-71.1348572
1638 CENTRE ST,CM,R4,2016,0.0,611000.0,1950.0,02132,42.2879704,-71.1444563
1222 BLUE HILL AV,CM,R4,2021,0.0,826700.0,1920.0,02126,42.2824907,-71.09167649999999
884 ADAMS ST,CM,R4,2018,0.0,2288500.0,2010.0,02124,42.2811681,-71.0585517
870 E SIXTH ST,CM,R4,2018,0.0,2292500.0,1890.0,02127,42.3335652,-71.0261671
844 E FOURTH ST,CM,R4,2016,0.0,2172500.0,1800.0,02127,42.3350597,-71.0297442
752 E FOURTH ST,CM,R4,2016,0.0,1399500.0,1890.0,02127,42.33491799999999,-71.0342829
711 713 E FOURTH ST,CM,R4,2015,0.0,1233000.0,2010.0,02127,42.3346434,-71.03611029999999
708 E SIXTH ST,CM,R4,2022,0.0,708800.0,1900.0,02127,42.3333695,-71.031918
688 Walk Hill ST,CM,R4,2023,0.0,802700.0,1920.0,02126,42.2783589,-71.0947415
682 BLUE HILL AV,CM,R4,2022,0.0,697900.0,1910.0,02121,42.3009597,-71.0856039
678 MASSACHUSETTS AV,CM,R4,2016,0.0,1501500.0,1910.0,02118,42.3357276,-71.0756948
591 E THIRD ST,CM,R4,2016,0.0,2282500.0,1920.0,02127,42.3362803,-71.03617919999999
541 MASSACHUSETTS AV,CM,R4,2023,0.0,3650000.0,1890.0,02118,42.3379939,-71.07966929999999
530 DORCHESTER AV,CM,R4,2021,0.0,2277300.0,2010.0,02127,42.3312537,-71.05683379999999
517 SHAWMUT AV,CM,R4,2016,0.0,1270000.0,2010.0,02118,42.3378386,-71.07764030000001
514 E BROADWAY,CM,R4,2023,0.0,1613400.0,1910.0,02127,42.3356236,-71.0437931
485 ASHMONT ST,CM,R4,2022,0.0,1247500.0,2020.0,02122,42.2885598,-71.0533896
476 BEACON ST,CM,R4,2015,0.0,2810000.0,1910.0,02115,42.3512999,-71.088461
447 BEACON ST,CM,R4,2016,0.0,3077000.0,1910.0,02115,42.3511071,-71.0875448
383 Cardinal Medeiros Ave,CM,R4,2023,,,1900.0,02141,42.3709625,-71.089406
343 Western Ave,CM,R4,2018,,,1910.0,02139,42.364712,-71.114116
331 CHELSEA ST,CM,R4,2021,0.0,707400.0,2010.0,02128,42.3777149,-71.0293607
294 COLUMBUS AV,CM,R4,2020,,2016400.0,1880.0,02116,42.3466213,-71.0739306
290 NORTH ST,CM,R4,2018,0.0,2894000.0,1940.0,02113,42.364063,-71.05212139999999
243 CONDOR ST,CM,R4,2021,0.0,1236200.0,2010.0,02128,42.3823985,-71.0315639
224 PRINCETON ST,CM,R4,2023,0.0,1525800.0,1900.0,02128,42.3793333,-71.0316335
222 ROSLINDALE AV,CM,R4,2021,0.0,701200.0,1920.0,02131,42.28051120000001,-71.1384015
217 PARIS ST,CM,R4,2021,0.0,778100.0,2010.0,02128,42.3747486,-71.0346465
187 London ST,CM,R4,2023,0.0,1399900.0,1890.0,02128,42.3748818,-71.0370492
173 ENDICOTT ST,CM,R4,2023,0.0,2356700.0,2020.0,02113,42.3658226,-71.05728789999999
166 MARLBOROUGH ST,CM,R4,2015,0.0,2274000.0,1900.0,02116,42.3525107,-71.07923629999999
156 W CONCORD ST,CM,R4,2018,0.0,2271200.0,1890.0,02118,42.339926,-71.0777319
155 FLORENCE ST,CM,R4,2018,0.0,661500.0,1990.0,02131,42.287435,-71.12277
148 WARREN AV,CM,R4,2015,0.0,1255000.0,1890.0,02116,42.3439445,-71.0750394
138 CENTRE ST,CM,R4,2022,0.0,1380900.0,1900.0,02124,42.2920259,-71.0662978
136  138 NEPONSET AV,CM,R4,2021,0.0,1935100.0,1890.0,02122,42.2939948,-71.05145949999999
125 STOUGHTON ST,CM,R4,2018,0.0,457600.0,2010.0,02125,42.3150415,-71.0611959
119 St Botolph ST,CM,R4,2023,0.0,2258700.0,1890.0,02115,42.3444007,-71.0817446
119 PRINCETON ST,CM,R4,2022,0.0,985900.0,1900.0,02128,42.3776407,-71.0350589
119 BARNES AV,CM,R4,2022,0.0,1258900.0,2020.0,02128,42.3852877,-71.0008845
114 PRINCE ST,CM,R4,2023,0.0,1504400.0,1920.0,02113,42.3659346,-71.0568839
114 MAIN ST,CM,R4,2021,0.0,1406800.0,1890.0,02129,42.3790601,-71.068747
112 W NINTH ST,CM,R4,2016,0.0,1353000.0,1910.0,02127,42.33517459999999,-71.0546837
109 Liverpool ST,CM,R4,2023,0.0,1010300.0,1900.0,02128,42.3725589,-71.0403978
102 NEPONSET AV,CM,R4,2022,0.0,1398600.0,2020.0,02122,42.29500410000001,-71.0526321
91 CHELSEA ST,CM,R4,2018,0.0,1160500.0,2010.0,02128,42.3720964,-71.0358547
85 LEXINGTON ST,CM,R4,2018,0.0,1051000.0,2010.0,02128,42.3778884,-71.0364626
82 WORCESTER ST,CM,R4,2018,0.0,2314500.0,1890.0,02118,42.3394698,-71.0782353
77 DIX ST,CM,R4,2021,0.0,1507900.0,1900.0,02122,42.2957177,-71.0579975
74 CHANDLER ST,CM,R4,2015,0.0,945000.0,1910.0,02116,42.3464889,-71.0721334
69 ROBESON ST,CM,R4,2022,0.0,986000.0,1890.0,02130,42.3095841,-71.0987991
66 WORDSWORTH ST,CM,R4,2023,0.0,679200.0,2020.0,02128,42.3848674,-71.01673699999999
66 FALCON ST,CM,R4,2021,0.0,905400.0,1900.0,02128,42.3821361,-71.0369043
64  66 GOVE ST,CM,R4,2021,0.0,997400.0,,02128,42.3710786,-71.0365405
58 BOYNTON ST,CM,R4,2018,0.0,1327000.0,1910.0,02130,42.3055719,-71.11226239999999
57 WACHUSETT ST,CM,R4,2016,0.0,536000.0,1890.0,02130,42.2962431,-71.1138653
53 F ST,CM,R4,2022,0.0,1805700.0,2010.0,02127,42.3343983,-71.0503571
52 FISHER AV,CM,R4,2022,0.0,1077174.0,2020.0,02120,42.3275523,-71.102259
48 UNION PK,CM,R4,2020,,2827900.0,1900.0,02118,42.3432578,-71.0722244
48  50 L ST,CM,R4,2021,0.0,1329900.0,1930.0,02127,42.3368026,-71.0352168
46 W EAGLE ST,CM,R4,2015,0.0,259000.0,2010.0,02128,42.381509,-71.0377294
45 COFFEY ST,CM,R4,2016,0.0,592000.0,2010.0,02122,42.2888432,-71.048628
45 A ST,CM,R4,2015,0.0,747500.0,2010.0,02127,42.3414443,-71.055711
43 SALCOMBE ST,CM,R4,2015,0.0,626000.0,1910.0,02125,42.31385909999999,-71.0621882
43 Essex St,CM,R4,2020,,,1900.0,02139,42.367302,-71.1015729
