Address,LU post groups,LU prior groups,Prior Year,TOTAL VALUE post,TOTAL VALUE prior,YR BUILT prior (bin) 2,ZIPCODE post (group),Latitude,Longitude
11 RUTHVEN ST,R3,RL,2018,306400.0,58700.0,0.0,02121,42.3139324,-71.0930146
4 WELD AV,R3,RL,2022,912800.0,7800.0,,02119,42.314915,-71.0979267
MAYFIELD ST,R3,R3,2015,1352498.0,1072800.0,2010.0,02125,42.3166813,-71.0590583
1441 HYDE PARK AV,R3,R3,2020,,590602.0,1980.0,02136,42.2493947,-71.1267481
794 SHAWMUT AV,R3,R3,2022,869000.0,827200.0,1900.0,02119,42.3310354,-71.0845748
597 METROPOLITAN AV,R3,R3,2020,,540720.0,1920.0,02136,42.2657835,-71.11846059999999
593 CENTRE ST,R3,R3,2022,1467300.0,1396700.0,1910.0,02130,42.3151099,-71.1143609
553 E SIXTH ST,R3,R3,2022,1810300.0,1645800.0,1870.0,02127,42.3329416,-71.0384857
404 K ST,R3,R3,2022,1406900.0,1279000.0,1900.0,02127,42.3300845,-71.0370314
397 K ST,R3,R3,2022,1220700.0,1109700.0,1890.0,02127,42.3303047,-71.03740379999999
311 BELGRADE AV,R3,R3,2022,1113200.0,1060200.0,1900.0,02131,42.2862756,-71.14431069999999
201 HILLSIDE ST,R3,R3,2022,1396000.0,1355000.0,1900.0,02120,42.3320983,-71.1088353
193 FAIRMOUNT AV,R3,R3,2022,838700.0,776600.0,1900.0,02136,42.2514573,-71.11753379999999
183 CENTRE ST,R3,R3,2022,928700.0,875200.0,1910.0,02124,42.2921024,-71.0647962
155 Webster Ave,R3,R3,2015,,,1890.0,02138,42.3703114,-71.09338149999999
109  111 PIERCE AV,R3,R3,2020,,1528200.0,2000.0,02122,42.2880401,-71.0484808
106 CLARE AV,R3,R3,2020,,612500.0,1900.0,02136,42.2744586,-71.11867459999999
100-102 Amory St,R3,R3,2018,,,1890.0,02139,42.3716489,-71.10016999999999
93 HILLSIDE ST,R3,R3,2022,1987100.0,1928800.0,1900.0,02120,42.3308317,-71.1037399
88 WENHAM ST,R3,R3,2022,1036700.0,1020200.0,1920.0,02130,42.2981235,-71.1136391
58 WHEATLAND AV,R3,R3,2020,,2021300.0,2010.0,02124,42.2930561,-71.0744833
58 BLUE HILL AV,R3,R3,2022,936100.0,694100.0,1900.0,02119,42.3230847,-71.0763099
54 CLIFFORD ST,R3,R3,2022,658600.0,573000.0,1890.0,02119,42.31974150000001,-71.07908379999999
49 WALK HILL ST,R3,R3,2022,1041500.0,991400.0,1910.0,02130,42.2941796,-71.1151199
47 HILLSIDE ST,R3,R3,2022,2434000.0,2362600.0,1910.0,02120,42.3301653,-71.1008349
41 WALNUT PK,R3,R3,2020,,551480.0,1880.0,02119,42.3152139,-71.09622759999999
39  41 DANA AV,R3,R3,2020,,434304.0,1920.0,02136,42.2529761,-71.1238644
28 GARFIELD AV,R3,R3,2022,721900.0,668500.0,1900.0,02136,42.2480633,-71.1223605
26 GARFIELD AV,R3,R3,2020,,482160.0,1900.0,02136,42.2483683,-71.1218974
24 WAKULLAH ST,R3,R3,2022,824400.0,785200.0,1900.0,02119,42.3221369,-71.0863579
21 RIVERSIDE SQ,R3,R3,2016,936900.0,581600.0,1910.0,02136,42.2598264,-71.1138201
19 ASHLEY ST,R3,R3,2022,1222100.0,1163300.0,1910.0,02128,42.3881462,-71.0047761
19  21 GLENWOOD AV,R3,R3,2020,,644586.0,1900.0,02136,42.2486055,-71.12759989999999
17 HIGH ST,R3,R3,2022,993600.0,903300.0,1900.0,02122,42.3097557,-71.0612293
16 LAKESIDE AV,R3,R3,2020,,473447.0,1910.0,02136,42.2334102,-71.1384866
15 CRANSTON ST,R3,R3,2022,1765100.0,1634400.0,1990.0,02130,42.32117110000001,-71.1096634
14 IROQUOIS ST,R3,R3,2015,2192472.0,1816846.0,2000.0,02120,42.3297409,-71.10343019999999
11 MONTAGUE ST,R3,R3,2018,871600.0,545600.0,1890.0,02124,42.2858568,-71.0702281
11 MASCOMA ST,R3,R3,2023,1203900.0,326800.0,1900.0,02121,42.3123259,-71.0752248
11 I ST,R3,R3,2022,1368400.0,1244000.0,1890.0,02127,42.3376761,-71.0401467
11 ALLEGHANY ST,R3,R3,2018,2483700.0,1299600.0,1880.0,02120,42.3299915,-71.0979691
11 ALBION ST,R3,R3,2022,803500.0,780200.0,1900.0,02119,42.3218399,-71.07154059999999
9 WORDSWORTH ST,R3,R3,2022,791000.0,768200.0,1900.0,02128,42.3850725,-71.0193769
4 MELVILLE AV,R3,R3,2020,,1320400.0,1890.0,02124,42.2938836,-71.0709004
3 W COTTAGE ST,R3,R3,2022,529200.0,504000.0,1890.0,02125,42.3213352,-71.0726262
3 MARYLAND ST,R3,R3,2022,1125200.0,1061400.0,1910.0,02125,42.3120725,-71.0553983
2 VICTORIA ST,R3,R3,2022,1440600.0,1358900.0,1900.0,02125,42.3153957,-71.05722879999999
2 THANE ST,R3,R3,2022,608100.0,744900.0,1900.0,02124,42.2949962,-71.0758743
2 MARSHFIELD ST,R3,R3,2022,570800.0,616700.0,1890.0,02119,42.3226622,-71.0702156
1 LEYLAND ST,R3,R3,2022,862400.0,837300.0,1890.0,02125,42.3212248,-71.0714493
251 LAMARTINE ST,R3,R2,2015,1776700.0,803300.0,1900.0,02130,42.3147366,-71.106398
244 SAVIN HILL AV,R3,R2,2021,1757400.0,1208100.0,1900.0,02125,42.3101886,-71.0472017
160 H ST,R3,R2,2022,1254300.0,1065900.0,1900.0,02127,42.3325368,-71.0413212
147 GRAMPIAN WY,R3,R2,2022,1979000.0,903500.0,1900.0,02125,42.3099003,-71.04967529999999
80 MINOT ST,R3,R2,2021,1379900.0,690300.0,1880.0,02122,42.2850371,-71.04898440000001
65 FLORIAN ST,R3,R2,2018,1511400.0,498300.0,1930.0,02131,42.2881995,-71.1164675
46 DENNIS ST,R3,R2,2021,651200.0,658500.0,1890.0,02119,42.3220665,-71.0755671
38R MINOT ST,R3,R2,2015,691000.0,515500.0,1990.0,02122,42.2854013,-71.0463283
32 ARLINGTON ST,R3,R2,2021,1459600.0,558100.0,1870.0,02136,42.2593444,-71.1159575
25 HARLEY ST,R3,R2,2018,1057100.0,630700.0,1890.0,02124,42.2867831,-71.069064
22 PARKER ST,R3,R2,2022,1614700.0,782900.0,1870.0,02129,42.3831722,-71.0788925
1888 RIVER ST,R3,R1,2016,421800.0,399300.0,1900.0,02136,42.2428916,-71.1424147
1800 RIVER ST,R3,R1,2016,710700.0,408800.0,1950.0,02136,42.2437443,-71.1383982
582 E EIGHTH ST,R3,R1,2022,1839200.0,1001500.0,1890.0,02127,42.3315578,-71.03845059999999
478 BEECH ST,R3,R1,2022,1635900.0,709700.0,1920.0,02131,42.2760782,-71.1331343
338 POND ST,R3,R1,2015,1709700.0,731800.0,1930.0,02130,42.3102915,-71.12878429999999
266 LAMARTINE ST,R3,R1,2016,1258100.0,659400.0,1910.0,02130,42.313856,-71.106718
117 CENTRE ST,R3,R1,2016,634977.0,421400.0,1850.0,02119,42.2914626,-71.0669329
101 CAROLINA AV,R3,R1,2021,1151000.0,758000.0,1860.0,02130,42.3078139,-71.1115933
91 ANAWAN AV,R3,R1,2022,1848400.0,1106200.0,1890.0,02132,42.2841476,-71.1490243
47 GRAY ST,R3,R1,2016,2965300.0,1543900.0,1910.0,02116,42.3455506,-71.07197599999999
42 OLNEY ST,R3,R1,2015,566900.0,251300.0,1920.0,02121,42.3051709,-71.07059989999999
20 SPRING PARK AV,R3,R1,2021,2154100.0,1010200.0,1870.0,02130,42.3173592,-71.1113598
18 PLAIN ST,R3,R1,2022,1573500.0,795400.0,2020.0,02122,42.2869078,-71.04906869999999
8 BLACKWELL ST,R3,R1,2018,459060.0,419958.0,1920.0,02122,42.28782959999999,-71.0476178
30 34 VINE ST,R3,E,2018,268000.0,106100.0,0.0,02119,42.3263266,-71.0774127
12 CHURCH ST,R3,C,2021,796200.0,2049000.0,1890.0,02132,42.2884246,-71.1456407
650 E THIRD ST,R2,RL,2022,947900.0,58900.0,,02127,42.3366346,-71.0338762
4 BAKER PL,R2,RL,2022,997200.0,47700.0,,02132,42.28104099999999,-71.168897
125 Brookline St,R2,R4,2018,,,1920.0,02138,42.3609912,-71.1047293
39 Hammond St,R2,R4,2018,,,1920.0,02138,42.380978,-71.1149342
551 NORFOLK ST,R2,R3,2022,663900.0,857700.0,1900.0,02126,42.2782887,-71.09091029999999
566 E SIXTH ST,R2,R2,2022,1250500.0,1157300.0,1870.0,02127,42.3331617,-71.03799339999999
561 E FIFTH ST,R2,R2,2022,1176800.0,1089300.0,1900.0,02127,42.3337647,-71.0378484
480 E SEVENTH ST,R2,R2,2022,807100.0,747000.0,1910.0,02127,42.3322866,-71.0418226
278 PRINCETON ST,R2,R2,2022,642700.0,600500.0,1900.0,02128,42.3801043,-71.0295184
241 Norfolk St,R2,R2,2016,,,1870.0,02139,42.3701772,-71.0983165
144 BEECH ST,R2,R2,2016,547000.0,501800.0,1890.0,02131,42.2836282,-71.1449971
69 SPRING PARK AV,R2,R2,2022,867300.0,849900.0,1900.0,02130,42.3163259,-71.10859409999999
68 HORACE ST,R2,R2,2022,1087000.0,787600.0,1900.0,02128,42.3823642,-71.017416
56 MALLET ST,R2,R2,2022,630400.0,583500.0,1910.0,02124,42.2900988,-71.0587135
43 CARRUTH ST,R2,R2,2022,733600.0,672700.0,1910.0,02124,42.28322199999999,-71.0607989
36 HASTINGS ST,R2,R2,2022,942400.0,914900.0,1910.0,02132,42.2863299,-71.1571898
25 EMMETT ST,R2,R2,2022,621000.0,574800.0,1900.0,02136,42.2605569,-71.12992729999999
21 UNION AV,R2,R2,2022,741500.0,719600.0,1900.0,02130,42.3093025,-71.1064468
16 CIRCUIT ST,R2,R2,2022,568600.0,517000.0,1900.0,02119,42.3235035,-71.08525089999999
15 GORDON ST,R2,R2,2022,1139400.0,1116700.0,1900.0,02130,42.3106034,-71.1084474
11 SWALLOW ST,R2,R2,2022,1272400.0,1177800.0,1900.0,02127,42.3335174,-71.0305065
11 HARVEST ST,R2,R2,2022,884100.0,841600.0,1900.0,02125,42.3228523,-71.0572815
11 GREENWICH PK,R2,R2,2022,3316400.0,3250100.0,1860.0,02118,42.3426356,-71.0801431
8 MILL ST,R2,R2,2022,614100.0,497600.0,1890.0,02122,42.3010647,-71.0513443
7 ELIOT ST,R2,R2,2022,1214200.0,1134400.0,1900.0,02130,42.3102915,-71.1158839
5 GREENHEYS ST,R2,R2,2022,771100.0,713700.0,1900.0,02121,42.3115026,-71.0749994
2 LORENZO ST,R2,R2,2022,693300.0,634000.0,1900.0,02122,42.2870919,-71.04126649999999
81 WARREN ST,R2,R1,2022,1341200.0,1803600.0,1800.0,02129,42.3744785,-71.06247479999999
56 HARDING RD,R2,R1,2022,763400.0,770400.0,2000.0,02131,42.282291,-71.117998
2 MT VERNON ST,R2,R1,2022,1145100.0,1380600.0,1850.0,02129,42.3761315,-71.0589495
205 CHESTNUT AV,R1,RL,2022,1114000.0,25700.0,,02130,42.3158584,-71.10796599999999
80 Pearl St,R1,RL,2018,,,0.0,02139,42.3628695,-71.1044493
74 TREMONT ST,R1,RL,2018,543000.0,17000.0,0.0,02129,42.3757257,-71.05679909999999
56 COTTAGE RD,R1,RL,2018,278300.0,13000.0,0.0,02132,42.26597049999999,-71.16088859999999
67 CHESTNUT ST,R1,RC,2022,5424000.0,1635400.0,1890.0,02108,42.3570207,-71.07064720000001
74 SPRING PARK AV,R1,R4,2022,728400.0,979700.0,1900.0,02130,42.3166485,-71.10806339999999
93 PRINCETON ST,R1,R3,2022,438600.0,888500.0,1900.0,02128,42.3773712,-71.0359289
62 GARFIELD AV,R1,R3,2022,476800.0,707900.0,1910.0,02136,42.2467153,-71.12088899999999
36 BEACHVIEW RD,R1,R3,2022,593400.0,1067800.0,1920.0,02128,42.3907019,-71.0033687
10 PARTRIDGE ST,R1,R3,2022,588500.0,776700.0,1920.0,02132,42.2744522,-71.1457245
452 E EIGHTH ST,R1,R2,2022,730700.0,1168700.0,1890.0,02127,42.3314813,-71.0430683
365 SUMNER ST,R1,R2,2019,308000.0,522800.0,1910.0,02128,42.3665958,-71.0347936
252 Pearl St,R1,R2,2016,,,1870.0,02138,42.3803274,-71.13891009999999
60 G ST,R1,R2,2022,966200.0,944500.0,1890.0,02127,42.3340975,-71.04402759999999
48 WESTMINSTER ST,R1,R2,2022,573900.0,597600.0,1920.0,02136,42.2642389,-71.12053809999999
22 NORTON ST,R1,R2,2022,987300.0,459800.0,1930.0,02136,42.242496,-71.1361482
13 WILLIAMS AV,R1,R2,2022,557900.0,627500.0,1930.0,02136,42.250827,-71.1194866
8 WELD AV,R1,R2,2021,403500.0,618200.0,1900.0,02119,42.3147669,-71.0980555
5 ARMORY ST,R1,R2,2022,795100.0,909000.0,1900.0,02129,42.3815027,-71.07030929999999
4 FORT AVENUE TE,R1,R2,2022,577500.0,1298400.0,2010.0,02119,42.3250704,-71.09349399999999
1 MEYER ST,R1,R2,2022,1028000.0,1289400.0,1910.0,02131,42.2891791,-71.11528489999999
2358 CENTRE ST,R1,R1,2022,556200.0,584000.0,1950.0,02132,42.2704189,-71.1616777
801 E THIRD ST,R1,R1,2022,721800.0,656200.0,1890.0,02127,42.3365237,-71.0276239
688 E SECOND ST,R1,R1,2022,603600.0,666800.0,1890.0,02127,42.3374376,-71.03577899999999
612 E FIFTH ST,R1,R1,2022,800600.0,756000.0,1890.0,02127,42.3340708,-71.03614259999999
507 E FIFTH ST,R1,R1,2022,735000.0,736700.0,1890.0,02127,42.3337264,-71.0405224
490 E SEVENTH ST,R1,R1,2022,1004500.0,921300.0,1990.0,02127,42.3323662,-71.040902
361 S HUNTINGTON AV,R1,R1,2022,749500.0,687600.0,1920.0,02115,42.322729,-71.1124348
325 NORFOLK AV,R1,R1,2022,413300.0,401200.0,1880.0,02125,42.3219834,-71.0666378
300 COMMONWEALTH AV,R1,R1,2022,8652400.0,8066200.0,1890.0,02115,42.3495486,-71.08522049999999
281 NEPONSET AV,R1,R1,2022,648400.0,617200.0,1900.0,02122,42.2894565,-71.0482214
276 QUINCY ST,R1,R1,2022,380700.0,362600.0,2000.0,02125,42.3116631,-71.0707669
239 BEECH ST,R1,R1,2022,561400.0,501300.0,1900.0,02131,42.2806266,-71.14094089999999
237 BEECH ST,R1,R1,2022,833600.0,674200.0,1970.0,02131,42.280733,-71.1410923
235 BEECH ST,R1,R1,2022,745700.0,665700.0,1930.0,02131,42.2808272,-71.1413006
223 PRINCETON ST,R1,R1,2022,389100.0,367100.0,1890.0,02128,42.3790839,-71.0314216
221 KENNEBEC ST,R1,R1,2022,596300.0,495400.0,1910.0,02136,42.2718007,-71.1079261
216 W FIFTH ST,R1,R1,2022,770900.0,1018400.0,1890.0,02127,42.3363905,-71.05044579999999
195 FAIRMOUNT AV,R1,R1,2022,447800.0,417100.0,1960.0,02136,42.2513102,-71.1172454
149 MAGNOLIA ST,R1,R1,2022,354700.0,337800.0,2000.0,02125,42.3141075,-71.0722412
147R Prospect St,R1,R1,2018,,,1830.0,02138,42.3690052,-71.1019422
141 W EIGHTH ST,R1,R1,2022,805000.0,731800.0,1910.0,02127,42.3347899,-71.0536968
138 BELGRADE AV,R1,R1,2022,626000.0,437700.0,1960.0,02131,42.28604929999999,-71.1364212
136 BELGRADE AV,R1,R1,2022,489500.0,476900.0,1960.0,02131,42.2860503,-71.13635459999999
129 WOODROW AV,R1,R1,2022,306700.0,297800.0,1990.0,02124,42.2873627,-71.08406289999999
127 MILLET ST,R1,R1,2022,475800.0,444600.0,2000.0,02124,42.2918373,-71.0764092
125 WILMINGTON AV,R1,R1,2022,670600.0,626400.0,1990.0,02124,42.2797366,-71.0743019
123 WOODROW AV,R1,R1,2022,376600.0,313600.0,1990.0,02124,42.2873374,-71.08386569999999
117 ALEXANDER ST,R1,R1,2022,349600.0,333000.0,2000.0,02125,42.3143436,-71.0710153
110 M ST,R1,R1,2022,889800.0,809000.0,1900.0,02127,42.3343195,-71.0331782
107 MAPLE ST,R1,R1,2022,997400.0,906700.0,1900.0,02132,42.2901065,-71.1559738
104 HOMES AV,R1,R1,2022,374800.0,354000.0,1910.0,02122,42.3036237,-71.0667113
102 MORELAND ST,R1,R1,2022,495900.0,466800.0,1890.0,02119,42.3230902,-71.07684739999999
99 P ST,R1,R1,2022,685400.0,623100.0,1960.0,02127,42.33465959999999,-71.02735249999999
