file,line,type,commit,author,date,time,timezone,datetime,depth,length
static/style.css,53,css,b9abbb8,Abigail,2024-04-02,17:53:54,-04:00,2024-04-02T17:53:54-04:00,1,30
static/style.css,54,css,b9abbb8,Abigail,2024-04-02,17:53:54,-04:00,2024-04-02T17:53:54-04:00,1,19
static/style.css,55,css,b9abbb8,Abigail,2024-04-02,17:53:54,-04:00,2024-04-02T17:53:54-04:00,0,0
static/style.css,56,css,b9abbb8,Abigail,2024-04-02,17:53:54,-04:00,2024-04-02T17:53:54-04:00,0,0
static/style.css,57,css,b9abbb8,Abigail,2024-04-02,17:53:54,-04:00,2024-04-02T17:53:54-04:00,0,16
static/style.css,58,css,b9abbb8,Abigail,2024-04-02,17:53:54,-04:00,2024-04-02T17:53:54-04:00,1,36
static/style.css,59,css,b9abbb8,Abigail,2024-04-02,17:53:54,-04:00,2024-04-02T17:53:54-04:00,1,11
static/style.css,60,css,b9abbb8,Abigail,2024-04-02,17:53:54,-04:00,2024-04-02T17:53:54-04:00,1,52
static/style.css,61,css,b9abbb8,Abigail,2024-04-02,17:53:54,-04:00,2024-04-02T17:53:54-04:00,1,45
static/style.css,62,css,b9abbb8,Abigail,2024-04-02,17:53:54,-04:00,2024-04-02T17:53:54-04:00,1,1
static/style.css,63,css,b9abbb8,Abigail,2024-04-02,17:53:54,-04:00,2024-04-02T17:53:54-04:00,1,22
static/style.css,64,css,b9abbb8,Abigail,2024-04-02,17:53:54,-04:00,2024-04-02T17:53:54-04:00,1,63
static/style.css,65,css,b9abbb8,Abigail,2024-04-02,17:53:54,-04:00,2024-04-02T17:53:54-04:00,1,13
static/style.css,66,css,b9abbb8,Abigail,2024-04-02,17:53:54,-04:00,2024-04-02T17:53:54-04:00,1,14
static/style.css,67,css,b9abbb8,Abigail,2024-04-02,17:53:54,-04:00,2024-04-02T17:53:54-04:00,0,0
static/style.css,68,css,b9abbb8,Abigail,2024-04-02,17:53:54,-04:00,2024-04-02T17:53:54-04:00,0,0
static/global.js,1,js,b9abbb8,Abigail,2024-04-02,17:53:54,-04:00,2024-04-02T17:53:54-04:00,0,34
static/global.js,2,js,b9abbb8,Abigail,2024-04-02,17:53:54,-04:00,2024-04-02T17:53:54-04:00,0,0
